ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-1474244,Extracellular matrix organization,38/142,272/8657,1.71188044194569e-25,6.88175937662166e-23,6.0906904145015e-23,Ctsk/Col15a1/Col5a1/Col5a2/Col6a3/Pcolce2/Plod1/Ctss/Adamts5/Fbn1/Lamb2/Vcan/Col12a1/Col1a1/Col3a1/Col4a1/Sdc2/Adam15/Jam2/Jam3/Lum/Bmp1/Ddr2/Sparc/Col4a2/Lama4/Nid1/Fbln2/Fbln5/Fn1/Lox/Loxl1/Mfap2/Mfap4/Tgfb3/Bmp4/Mmp2/Tnc,38
R-MMU-1474228,Degradation of the extracellular matrix,18/142,129/8657,2.34111606787816e-12,4.7056432964351e-10,4.1647222681201e-10,Ctsk/Col15a1/Col5a1/Col5a2/Col6a3/Ctss/Adamts5/Fbn1/Col12a1/Col1a1/Col3a1/Col4a1/Adam15/Bmp1/Col4a2/Nid1/Fn1/Mmp2,18
R-MMU-1474290,Collagen formation,14/142,74/8657,1.05120629352903e-11,1.4086164333289e-09,1.24669377969408e-09,Col15a1/Col5a1/Col5a2/Col6a3/Pcolce2/Plod1/Col12a1/Col1a1/Col3a1/Col4a1/Bmp1/Col4a2/Lox/Loxl1,14
R-MMU-2022090,Assembly of collagen fibrils and other multimeric structures,11/142,44/8657,7.56247283833978e-11,7.60028520253148e-09,6.72662057726012e-09,Col5a1/Col5a2/Col6a3/Col12a1/Col1a1/Col3a1/Col4a1/Bmp1/Col4a2/Lox/Loxl1,11
R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),17/142,142/8657,1.20872925741767e-10,9.7181832296381e-09,8.60106292646682e-09,C4b/C3/Fbn1/Lamb2/Mxra8/Trf/Vcan/Gpc3/Sdc2/Fstl3/Fn1/Bmp4/Cyr61/Igf1/Mmp2/Sparcl1/Tnc,17
R-MMU-216083,Integrin cell surface interactions,13/142,76/8657,2.25796416227696e-10,1.46135266587604e-08,1.2933679001469e-08,Col5a1/Col5a2/Col6a3/Fbn1/Col1a1/Col3a1/Col4a1/Jam2/Jam3/Lum/Col4a2/Fn1/Tnc,13
R-MMU-1650814,Collagen biosynthesis and modifying enzymes,12/142,62/8657,2.54464394555529e-10,1.46135266587604e-08,1.2933679001469e-08,Col15a1/Col5a1/Col5a2/Col6a3/Pcolce2/Plod1/Col12a1/Col1a1/Col3a1/Col4a1/Bmp1/Col4a2,12
R-MMU-1566948,Elastic fibre formation,10/142,38/8657,3.27622938150147e-10,1.64630526420449e-08,1.45705990914144e-08,Fbn1/Fbln2/Fbln5/Fn1/Lox/Loxl1/Mfap2/Mfap4/Tgfb3/Bmp4,10
R-MMU-8957275,Post-translational protein phosphorylation,15/142,116/8657,5.32256079236189e-10,2.37741048725498e-08,2.10412344774072e-08,C4b/C3/Fbn1/Lamb2/Mxra8/Trf/Vcan/Gpc3/Sdc2/Fstl3/Fn1/Bmp4/Cyr61/Sparcl1/Tnc,15
R-MMU-3000171,Non-integrin membrane-ECM interactions,9/142,33/8657,1.83964289585789e-09,7.39536444134871e-08,6.54525577684175e-08,Col5a1/Col5a2/Col1a1/Col3a1/Col4a1/Sdc2/Ddr2/Col4a2/Fn1,9
