ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-1474244,Extracellular matrix organization,38/202,272/8657,1.24955557366915e-19,5.71046897166801e-17,5.03768194437141e-17,Mmp14/Fn1/Plod1/Sparc/Bmp1/Col15a1/Lama4/Col18a1/Efemp1/Eln/Fbln1/Fbln2/Fbn1/Loxl1/Mfap4/Mfap5/Tgfb3/Col4a1/Col6a1/Mmp2/Sdc2/Adam15/Bmp4/Col12a1/Lamb1/Lamb2/Pcolce2/Timp1/Col1a1/Col1a2/Col3a1/Ctsk/Col4a2/Col5a2/Col6a3/Bgn/Hspg2/Adamts2,38
R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),25/202,142/8657,1.46715700237523e-15,3.35245375042741e-13,2.95747964163007e-13,C3/Fn1/Gas6/Trf/Fbn1/Mmp2/Sdc2/Apoe/Bmp4/C4b/Cst3/Cyr61/Igf1/Igfbp2/Igfbp4/Igfbp6/Igfbp7/Lamb1/Lamb2/Mfge8/Mxra8/Prss23/Sparcl1/Timp1/Gpc3,25
R-MMU-8957275,Post-translational protein phosphorylation,21/202,116/8657,1.74733087874536e-13,2.66176737195543e-11,2.34816746161218e-11,C3/Fn1/Gas6/Trf/Fbn1/Sdc2/Apoe/Bmp4/C4b/Cst3/Cyr61/Igfbp4/Igfbp7/Lamb1/Lamb2/Mfge8/Mxra8/Prss23/Sparcl1/Timp1/Gpc3,21
R-MMU-1474228,Degradation of the extracellular matrix,21/202,129/8657,1.53349467304306e-12,1.7520176639517e-10,1.54560120993551e-10,Mmp14/Fn1/Bmp1/Col15a1/Col18a1/Eln/Fbn1/Col4a1/Col6a1/Mmp2/Adam15/Col12a1/Timp1/Col1a1/Col1a2/Col3a1/Ctsk/Col4a2/Col5a2/Col6a3/Hspg2,21
R-MMU-1650814,Collagen biosynthesis and modifying enzymes,15/202,62/8657,6.9796885173665e-12,6.37943530487298e-10,5.62783305716078e-10,Plod1/Bmp1/Col15a1/Col18a1/Col4a1/Col6a1/Col12a1/Pcolce2/Col1a1/Col1a2/Col3a1/Col4a2/Col5a2/Col6a3/Adamts2,15
R-MMU-1474290,Collagen formation,16/202,74/8657,8.72190460592188e-12,6.64318400817717e-10,5.86050783169839e-10,Plod1/Bmp1/Col15a1/Col18a1/Loxl1/Col4a1/Col6a1/Col12a1/Pcolce2/Col1a1/Col1a2/Col3a1/Col4a2/Col5a2/Col6a3/Adamts2,16
R-MMU-1442490,Collagen degradation,14/202,68/8657,3.67925431555355e-10,2.4020274602971e-08,2.11902917722859e-08,Mmp14/Col15a1/Col18a1/Col4a1/Col6a1/Mmp2/Col12a1/Col1a1/Col1a2/Col3a1/Ctsk/Col4a2/Col5a2/Col6a3,14
R-MMU-1566948,Elastic fibre formation,11/202,38/8657,5.90004160966741e-10,3.37039876952251e-08,2.9733104427666e-08,Fn1/Efemp1/Eln/Fbln1/Fbln2/Fbn1/Loxl1/Mfap4/Mfap5/Tgfb3/Bmp4,11
R-MMU-8948216,Collagen chain trimerization,11/202,41/8657,1.4570188179179e-09,7.39841777542756e-08,6.52676265804159e-08,Col15a1/Col18a1/Col4a1/Col6a1/Col12a1/Col1a1/Col1a2/Col3a1/Col4a2/Col5a2/Col6a3,11
R-MMU-2129379,Molecules associated with elastic fibres,10/202,34/8657,3.08401016504292e-09,1.38202718339205e-07,1.21920168430072e-07,Fn1/Efemp1/Eln/Fbln1/Fbln2/Fbn1/Mfap4/Mfap5/Tgfb3/Bmp4,10
