ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-1474244,Extracellular matrix organization,52/231,272/8657,9.14985926535816e-31,4.3736327288412e-28,3.79478373742223e-28,Bgn/Fn1/Pcolce2/Sparc/Adam15/Col12a1/Col15a1/Col18a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Fbn1/Hspg2/Mmp14/Nid1/Timp1/Plod1/Bmp1/Lama4/Lamb1/Lamb2/Tnc/Vcan/Ctsk/Adamts2/Adamts5/Ctss/Col14a1/Ddr2/Bmp4/Efemp1/Eln/Fbln1/Fbln2/Fbln5/Lama2/Lox/Mfap2/Mfap4/Mfap5/Tgfb3/Lum/Jam2/Jam3/Sdc2,52
R-MMU-1474228,Degradation of the extracellular matrix,25/231,129/8657,3.36366836354497e-15,6.16126746052857e-13,5.34582554381911e-13,Fn1/Adam15/Col12a1/Col15a1/Col18a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Fbn1/Hspg2/Mmp14/Nid1/Timp1/Bmp1/Ctsk/Adamts5/Ctss/Eln,25
R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),26/231,142/8657,3.86690426393007e-15,6.16126746052857e-13,5.34582554381911e-13,Fn1/Trf/Fbn1/Timp1/Apoe/C3/C4b/Cyr61/Gpc3/Igf1/Igfbp2/Igfbp4/Igfbp6/Igfbp7/Lamb1/Lamb2/Mfge8/Mxra8/Prss23/Sparcl1/Tnc/Vcan/Cst3/Bmp4/Gas6/Sdc2,26
R-MMU-1650814,Collagen biosynthesis and modifying enzymes,18/231,62/8657,1.58413429804253e-14,1.89304048616082e-12,1.64249714060199e-12,Pcolce2/Col12a1/Col15a1/Col18a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Plod1/Bmp1/Adamts2/Col14a1,18
R-MMU-8957275,Post-translational protein phosphorylation,23/231,116/8657,2.70966610484176e-14,2.59044079622872e-12,2.24759672696348e-12,Fn1/Trf/Fbn1/Timp1/Apoe/C3/C4b/Cyr61/Gpc3/Igfbp4/Igfbp7/Lamb1/Lamb2/Mfge8/Mxra8/Prss23/Sparcl1/Tnc/Vcan/Cst3/Bmp4/Gas6/Sdc2,23
R-MMU-1474290,Collagen formation,19/231,74/8657,3.49398856733868e-14,2.78354422531315e-12,2.41514297461656e-12,Pcolce2/Col12a1/Col15a1/Col18a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Plod1/Bmp1/Adamts2/Col14a1/Lox,19
R-MMU-216083,Integrin cell surface interactions,18/231,76/8657,7.70472423672937e-13,5.2612259787952e-11,4.5649042846186e-11,Fn1/Col18a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Fbn1/Hspg2/Tnc/Lum/Jam2/Jam3,18
R-MMU-8948216,Collagen chain trimerization,14/231,41/8657,1.1653817912199e-12,6.9631562025389e-11,6.04158454921895e-11,Col12a1/Col15a1/Col18a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Col14a1,14
R-MMU-2022090,Assembly of collagen fibrils and other multimeric structures,14/231,44/8657,3.54054517954218e-12,1.88042288424573e-10,1.63154947454926e-10,Col12a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Bmp1/Col14a1/Lox,14
R-MMU-1566948,Elastic fibre formation,13/231,38/8657,7.44895621649443e-12,3.56060107148434e-10,3.08935657820927e-10,Fn1/Fbn1/Bmp4/Efemp1/Eln/Fbln1/Fbln2/Fbln5/Lox/Mfap2/Mfap4/Mfap5/Tgfb3,13
R-MMU-2129379,Molecules associated with elastic fibres,12/231,34/8657,3.19985481171457e-11,1.39048236363597e-09,1.20645243618712e-09,Fn1/Fbn1/Bmp4/Efemp1/Eln/Fbln1/Fbln2/Fbln5/Mfap2/Mfap4/Mfap5/Tgfb3,12
R-MMU-1442490,Collagen degradation,15/231,68/8657,1.98787996138498e-10,7.91838851285018e-09,6.87039214724283e-09,Col12a1/Col15a1/Col18a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Mmp14/Ctsk,15
R-MMU-3000178,ECM proteoglycans,12/231,40/8657,2.82906357606594e-10,1.04022491489194e-08,9.02551456655855e-09,Bgn/Fn1/Sparc/Col1a1/Col1a2/Col3a1/Col5a1/Col5a2/Col6a1/Col6a3/Tnc/Vcan,12
R-MMU-3000171,Non-integrin membrane-ECM interactions,11/231,33/8657,4.44492811980258e-10,1.51762545804688e-08,1.31676817985129e-08,Fn1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Hspg2/Ddr2/Sdc2,11
R-MMU-8874081,MET activates PTK2 signaling,10/231,30/8657,2.83586590009575e-09,9.03695933497178e-08,7.84092045359806e-08,Fn1/Col1a1/Col1a2/Col3a1/Col5a1/Col5a2/Lama4/Lamb1/Lamb2/Lama2,10
R-MMU-114608,Platelet degranulation ,18/231,132/8657,1.11948362298782e-08,3.34445732367612e-07,2.9018193911658e-07,Actn1/Clec3b/Clu/Fn1/Islr/Lgals3bp/Selenop/Serpina3n/Sparc/Srgn/Timp3/Trf/Timp1/Flna/Igf1/Tgfb3/Gas6/Pf4,18
R-MMU-76005,Response to elevated platelet cytosolic Ca2+,18/231,137/8657,2.0336537809614e-08,5.71815592529146e-07,4.96135968853741e-07,Actn1/Clec3b/Clu/Fn1/Islr/Lgals3bp/Selenop/Serpina3n/Sparc/Srgn/Timp3/Trf/Timp1/Flna/Igf1/Tgfb3/Gas6/Pf4,18
R-MMU-3000157,Laminin interactions,9/231,28/8657,2.60693086630832e-08,6.92284974497433e-07,6.00661263933029e-07,Col18a1/Col4a1/Col4a2/Hspg2/Nid1/Lama4/Lamb1/Lamb2/Lama2,9
R-MMU-8875878,MET promotes cell motility,10/231,41/8657,8.1759849710032e-08,2.05690569270501e-06,1.78467483577577e-06,Fn1/Col1a1/Col1a2/Col3a1/Col5a1/Col5a2/Lama4/Lamb1/Lamb2/Lama2,10
R-MMU-977606,Regulation of Complement cascade,10/231,42/8657,1.04824559037687e-07,2.50530696100073e-06,2.17373032951836e-06,Clu/Cfh/C1qa/C1qb/C1qc/C1ra/C3/C4b/Cfp/Cd55,10
R-MMU-166663,Initial triggering of complement,7/231,19/8657,3.37263787506644e-07,7.32782229218982e-06,6.35798719031664e-06,C1qa/C1qb/C1qc/C1ra/C3/C4b/Cfp,7
R-MMU-419037,NCAM1 interactions,7/231,19/8657,3.37263787506644e-07,7.32782229218982e-06,6.35798719031664e-06,Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3,7
R-MMU-76002,Platelet activation, signaling and aggregation,23/231,260/8657,3.97008087941821e-07,8.25086374070394e-06,7.15886437753215e-06,Actn1/Clec3b/Clu/Fn1/Islr/Lgals3bp/Selenop/Serpina3n/Sparc/Srgn/Timp3/Trf/Col1a1/Col1a2/Timp1/Flna/Mgll/Igf1/Rhob/Tgfb3/Fcer1g/Gas6/Pf4,23
R-MMU-2243919,Crosslinking of collagen fibrils,6/231,13/8657,4.96420165196136e-07,9.88703495682304e-06,8.57848881961743e-06,Col1a1/Col1a2/Col4a1/Col4a2/Bmp1/Lox,6
R-MMU-166658,Complement cascade,10/231,50/8657,6.06764135053619e-07,1.16013302622252e-05,1.00658976509948e-05,Clu/Cfh/C1qa/C1qb/C1qc/C1ra/C3/C4b/Cfp/Cd55,10
R-MMU-186797,Signaling by PDGF,10/231,56/8657,1.82775472346295e-06,3.36025676082803e-05,2.91552777750769e-05,Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Pdgfd/Pdgfrb/Thbs2,10
R-MMU-202733,Cell surface interactions at the vascular wall,13/231,107/8657,4.87131510058691e-06,8.45388414910742e-05,7.33501509523965e-05,Fn1/Col1a1/Col1a2/Cav1/Cd74/Esam/Fcer1g/Gas6/Jam2/Jam3/Pf4/Sdc2/Thbd,13
R-MMU-445355,Smooth Muscle Contraction,7/231,27/8657,4.95206602876585e-06,8.45388414910742e-05,7.33501509523965e-05,Myh11/Myl9/Acta2/Actg2/Cald1/Tpm1/Tpm2,7
R-MMU-6806834,Signaling by MET,10/231,76/8657,3.07108795628657e-05,0.00049810427965245,0.000432180326322539,Fn1/Col1a1/Col1a2/Col3a1/Col5a1/Col5a2/Lama4/Lamb1/Lamb2/Lama2,10
R-MMU-2214320,Anchoring fibril formation,5/231,15/8657,3.12617748735847e-05,0.00049810427965245,0.000432180326322539,Col1a1/Col1a2/Col4a1/Col4a2/Bmp1,5
R-MMU-375165,NCAM signaling for neurite out-growth,7/231,36/8657,3.79280392685748e-05,0.00058482589581867,0.000507424362370747,Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3,7
R-MMU-1971475,A tetrasaccharide linker sequence is required for GAG synthesis,6/231,26/8657,4.97574853458266e-05,0.000743252437353285,0.000644883198232095,Bgn/Hspg2/Gpc3/Gpc6/Vcan/Sdc2,6
R-MMU-5627123,RHO GTPases activate PAKs,5/231,19/8657,0.000110911789712553,0.0016065404691697,0.00139391531568567,Flna/Myh11/Mylk/Ppp1r12a/Myl9,5
R-MMU-1247673,Erythrocytes take up oxygen and release carbon dioxide,4/231,11/8657,0.000140647563639056,0.0019773392770432,0.00171563901157239,Aqp1/Hba-a1/Hba-a2/Hbb-bs,4
R-MMU-2173782,Binding and Uptake of Ligands by Scavenger Receptors,6/231,34/8657,0.00024311006986134,0.00332018895410629,0.00288076293309377,Sparc/Apoe/Hba-a1/Hba-a2/Hbb-bs/Colec12,6
R-MMU-975634,Retinoid metabolism and transport,7/231,49/8657,0.000290631961431374,0.00385894659900547,0.00334821616385852,Rbp4/Hspg2/Lpl/Apoe/Gpc3/Gpc6/Sdc2,7
R-MMU-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,10/231,101/8657,0.000345434623574181,0.00446264189374212,0.00387201256581016,Col1a1/Col1a2/Col3a1/B2m/C3/Cd200/Cd34/Colec12/Ifitm1/Ifitm3,10
R-MMU-166786,Creation of C4 and C2 activators,4/231,14/8657,0.000400497256161264,0.00503783390644959,0.00437107808663541,C1qa/C1qb/C1qc/C1ra,4
R-MMU-6806667,Metabolism of fat-soluble vitamins,7/231,52/8657,0.000422945398617354,0.00518379232151526,0.00449771894885931,Rbp4/Hspg2/Lpl/Apoe/Gpc3/Gpc6/Sdc2,7
R-MMU-1237044,Erythrocytes take up carbon dioxide and release oxygen,4/231,15/8657,0.00053476470390224,0.0062345738650066,0.00540942986745783,Aqp1/Hba-a1/Hba-a2/Hbb-bs,4
R-MMU-1480926,O2/CO2 exchange in erythrocytes,4/231,15/8657,0.00053476470390224,0.0062345738650066,0.00540942986745783,Aqp1/Hba-a1/Hba-a2/Hbb-bs,4
R-MMU-1638091,Heparan sulfate/heparin (HS-GAG) metabolism,6/231,49/8657,0.00181144175520216,0.0201364920694566,0.0174714333304688,Bgn/Hspg2/Gpc3/Gpc6/Vcan/Sdc2,6
R-MMU-1793185,Chondroitin sulfate/dermatan sulfate metabolism,6/231,49/8657,0.00181144175520216,0.0201364920694566,0.0174714333304688,Bgn/Hspg2/Gpc3/Gpc6/Vcan/Sdc2,6
R-MMU-9006934,Signaling by Receptor Tyrosine Kinases,23/231,447/8657,0.00185371041849684,0.0201380359100338,0.0174727728442047,Fn1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Pdgfd/Nfkbia/Fgfr1/Hbegf/Lama4/Igf1/Lamb1/Lamb2/Hspb1/Pdgfrb/Net1/Thbs2/Lama2,23
R-MMU-2024096,HS-GAG degradation,4/231,21/8657,0.00206751291515826,0.0219615816321255,0.0190549728321018,Hspg2/Gpc3/Gpc6/Sdc2,4
R-MMU-397014,Muscle contraction,11/231,150/8657,0.002206150422466,0.0229247804769293,0.0198906925961465,Myh11/Myl9/Acta2/Actg2/Atp1a2/Atp2b1/Cald1/Fxyd3/Fxyd6/Tpm1/Tpm2,11
R-MMU-2022857,Keratan sulfate degradation,3/231,11/8657,0.00264045163919984,0.0262944975736984,0.022814428636946,Lum/Ogn/Prelp,3
R-MMU-75892,Platelet Adhesion to exposed collagen,3/231,11/8657,0.00264045163919984,0.0262944975736984,0.022814428636946,Col1a1/Col1a2/Fcer1g,3
R-MMU-1630316,Glycosaminoglycan metabolism,9/231,114/8657,0.0033484805752855,0.0326647696936014,0.0283415971356066,Bgn/Hspg2/Gpc3/Gpc6/Vcan/Lum/Ogn/Prelp/Sdc2,9
R-MMU-430116,GP1b-IX-V activation signalling,3/231,12/8657,0.00345174590660945,0.0329986908671863,0.0286313239411394,Col1a1/Col1a2/Flna,3
R-MMU-2022928,HS-GAG biosynthesis,4/231,26/8657,0.00465274746518236,0.0436081036932778,0.0378365841337843,Hspg2/Gpc3/Gpc6/Sdc2,4
