ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-1474244,Extracellular matrix organization,50/224,272/8657,2.18150973961845e-29,1.03185410683953e-26,9.11641438556341e-27,Bmp1/Col12a1/Col14a1/Col15a1/Col1a1/Col5a2/Col6a3/Col8a1/Jam2/Pcolce2/Plod1/Ctss/Fn1/Sparc/Tgfb3/Ctsk/Ddr2/Bgn/Col1a2/Col3a1/Col4a2/Col5a1/Col6a1/Sdc2/Timp1/Tnc/Lox/Loxl1/Adamts2/Col18a1/Col4a1/Hspg2/Lama4/Lamb1/Lamb2/Nid1/Adam15/Mmp14/Bmp4/Efemp1/Eln/Fbln1/Fbln2/Fbln5/Fbn1/Mfap2/Mfap4/Mfap5/Mmp2/Lum,50
R-MMU-1474290,Collagen formation,20/224,74/8657,1.32842266614746e-15,2.55594008225215e-13,2.25816893880962e-13,Bmp1/Col12a1/Col14a1/Col15a1/Col1a1/Col5a2/Col6a3/Col8a1/Pcolce2/Plod1/Col1a2/Col3a1/Col4a2/Col5a1/Col6a1/Lox/Loxl1/Adamts2/Col18a1/Col4a1,20
R-MMU-1474228,Degradation of the extracellular matrix,25/224,129/8657,1.62110364624872e-15,2.55594008225215e-13,2.25816893880962e-13,Bmp1/Col12a1/Col15a1/Col1a1/Col5a2/Col6a3/Col8a1/Ctss/Fn1/Ctsk/Col1a2/Col3a1/Col4a2/Col5a1/Col6a1/Timp1/Col18a1/Col4a1/Hspg2/Nid1/Adam15/Mmp14/Eln/Fbn1/Mmp2,25
R-MMU-1650814,Collagen biosynthesis and modifying enzymes,18/224,62/8657,9.22075726815775e-15,1.09035454695965e-12,9.63326483015428e-13,Bmp1/Col12a1/Col14a1/Col15a1/Col1a1/Col5a2/Col6a3/Col8a1/Pcolce2/Plod1/Col1a2/Col3a1/Col4a2/Col5a1/Col6a1/Adamts2/Col18a1/Col4a1,18
R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),25/224,142/8657,1.69854846876808e-14,1.60682685145461e-12,1.4196289307388e-12,Igfbp2/Fn1/Gas6/Apoe/Igf1/C3/C4b/Cyr61/Gpc3/Igfbp4/Igfbp7/Mfge8/Mxra8/Prss23/Sdc2/Sparcl1/Timp1/Tnc/Trf/Lamb1/Lamb2/Bmp4/Fbn1/Mmp2/Fstl3,25
R-MMU-2022090,Assembly of collagen fibrils and other multimeric structures,15/224,44/8657,1.15617106770546e-13,9.11448191707801e-12,8.05263006805379e-12,Bmp1/Col12a1/Col14a1/Col1a1/Col5a2/Col6a3/Col8a1/Col1a2/Col3a1/Col4a2/Col5a1/Col6a1/Lox/Loxl1/Col4a1,15
R-MMU-8957275,Post-translational protein phosphorylation,22/224,116/8657,1.40874921696244e-13,9.51911970890336e-12,8.41012690427202e-12,Fn1/Gas6/Apoe/C3/C4b/Cyr61/Gpc3/Igfbp4/Igfbp7/Mfge8/Mxra8/Prss23/Sdc2/Sparcl1/Timp1/Tnc/Trf/Lamb1/Lamb2/Bmp4/Fbn1/Fstl3,22
R-MMU-1566948,Elastic fibre formation,14/224,38/8657,2.24450181926135e-13,1.32706170063827e-11,1.17245687137731e-11,Fn1/Tgfb3/Lox/Loxl1/Bmp4/Efemp1/Eln/Fbln1/Fbln2/Fbln5/Fbn1/Mfap2/Mfap4/Mfap5,14
R-MMU-8948216,Collagen chain trimerization,14/224,41/8657,7.63597524862425e-13,4.01312921399919e-11,3.54559318561851e-11,Col12a1/Col14a1/Col15a1/Col1a1/Col5a2/Col6a3/Col8a1/Col1a2/Col3a1/Col4a2/Col5a1/Col6a1/Col18a1/Col4a1,14
R-MMU-216083,Integrin cell surface interactions,17/224,76/8657,5.63235432934244e-12,2.66410359777898e-10,2.35373123026205e-10,Col1a1/Col5a2/Col6a3/Col8a1/Jam2/Fn1/Col1a2/Col3a1/Col4a2/Col5a1/Col6a1/Tnc/Col18a1/Col4a1/Hspg2/Fbn1/Lum,17
