ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-1474244,Extracellular matrix organization,54/238,272/8657,3.76515164817106e-32,1.81103794277028e-29,1.57343705718307e-29,Hspg2/Jam2/Adam15/Bgn/Col12a1/Col14a1/Col15a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Lama2/Lama4/Nid1/Pcolce2/Lamb1/Lamb2/Tnc/Vcan/Ddr2/Fn1/Jam3/Sparc/Timp1/Ctss/Bmp4/Efemp1/Eln/Fbln1/Fbln2/Fbln5/Lox/Loxl1/Mfap4/Fbn1/Mfap2/Mfap5/Tgfb3/Sdc2/Bmp1/Col18a1/Ctsk/Mmp14/Mmp2/Plod1/Lum/Adamts2/Adamts5,54
R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),28/238,142/8657,9.06095631189664e-17,2.17915999301114e-14,1.89326297674893e-14,Igfbp2/Apoe/C4b/Cyr61/Igfbp4/Igfbp6/Igfbp7/Lamb1/Lamb2/Mfge8/Mxra8/Prss23/Sparcl1/Tnc/Trf/Vcan/Fn1/Gas6/Timp1/C3/Cst3/Bmp4/Fbn1/Gpc3/Sdc2/Fstl3/Mmp2/Igf1,28
R-MMU-1474228,Degradation of the extracellular matrix,26/238,129/8657,6.92953127343174e-16,1.11103484750689e-13,9.65271549316632e-14,Hspg2/Adam15/Col12a1/Col15a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Nid1/Fn1/Timp1/Ctss/Eln/Fbn1/Bmp1/Col18a1/Ctsk/Mmp14/Mmp2/Adamts5,26
R-MMU-1474290,Collagen formation,20/238,74/8657,4.32340817485703e-15,4.95104323001323e-13,4.30148629459514e-13,Col12a1/Col14a1/Col15a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Pcolce2/Lox/Loxl1/Bmp1/Col18a1/Plod1/Adamts2,20
R-MMU-8957275,Post-translational protein phosphorylation,24/238,116/8657,5.14661458421333e-15,4.95104323001323e-13,4.30148629459514e-13,Apoe/C4b/Cyr61/Igfbp4/Igfbp7/Lamb1/Lamb2/Mfge8/Mxra8/Prss23/Sparcl1/Tnc/Trf/Vcan/Fn1/Gas6/Timp1/C3/Cst3/Bmp4/Fbn1/Gpc3/Sdc2/Fstl3,24
R-MMU-1650814,Collagen biosynthesis and modifying enzymes,18/238,62/8657,2.67333508907041e-14,2.14312362973811e-12,1.86195443922974e-12,Col12a1/Col14a1/Col15a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Pcolce2/Bmp1/Col18a1/Plod1/Adamts2,18
R-MMU-2022090,Assembly of collagen fibrils and other multimeric structures,15/238,44/8657,2.8241985416069e-13,1.94062785501845e-11,1.68602529476382e-11,Col12a1/Col14a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Lox/Loxl1/Bmp1,15
R-MMU-1566948,Elastic fibre formation,14/238,38/8657,5.18098574220273e-13,3.11506767749939e-11,2.70638334165063e-11,Fn1/Bmp4/Efemp1/Eln/Fbln1/Fbln2/Fbln5/Lox/Loxl1/Mfap4/Fbn1/Mfap2/Mfap5/Tgfb3,14
R-MMU-216083,Integrin cell surface interactions,18/238,76/8657,1.28601887703089e-12,6.87305644279841e-11,5.97133911323113e-11,Hspg2/Jam2/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Tnc/Fn1/Jam3/Fbn1/Col18a1/Lum,18
R-MMU-8948216,Collagen chain trimerization,14/238,41/8657,1.75447042068542e-12,8.43900272349689e-11,7.33183954749593e-11,Col12a1/Col14a1/Col15a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Col18a1,14
