ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-1474244,Extracellular matrix organization,46/219,272/8657,8.05001192437318e-26,3.80765564022851e-23,3.31321543413675e-23,Adamts5/Bgn/Hspg2/Lum/Efemp1/Eln/Fbln1/Fbln5/Mfap2/Mfap4/Mfap5/Sparc/Tgfb3/Adamts2/Bmp1/Col12a1/Col14a1/Col15a1/Col18a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Lox/Loxl1/Pcolce2/Plod1/Adam15/Bmp4/Ddr2/Fbn1/Fn1/Jam2/Lama4/Lamb1/Lamb2/Mmp14/Mmp2/Sdc2/Timp1,46
R-MMU-1474290,Collagen formation,20/219,74/8657,8.54167719976832e-16,2.02010665774521e-13,1.75778725532074e-13,Adamts2/Bmp1/Col12a1/Col14a1/Col15a1/Col18a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Lox/Loxl1/Pcolce2/Plod1,20
R-MMU-1650814,Collagen biosynthesis and modifying enzymes,18/219,62/8657,6.19235194834546e-15,9.76327490522467e-13,8.49547232211605e-13,Adamts2/Bmp1/Col12a1/Col14a1/Col15a1/Col18a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Pcolce2/Plod1,18
R-MMU-2022090,Assembly of collagen fibrils and other multimeric structures,15/219,44/8657,8.28099405581767e-14,7.39577198551863e-12,6.43539968028883e-12,Bmp1/Col12a1/Col14a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Lox/Loxl1,15
R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),24/219,142/8657,9.08999645930846e-14,7.39577198551863e-12,6.43539968028883e-12,Apoe/Bmp4/C3/Cst3/Cyr61/Fbn1/Fn1/Gas6/Gpc3/Igf1/Igfbp2/Igfbp4/Igfbp6/Igfbp7/Lamb1/Lamb2/Mfge8/Mmp2/Mxra8/Prss23/Sdc2/Sparcl1/Timp1/Trf,24
R-MMU-1474228,Degradation of the extracellular matrix,23/219,129/8657,9.38152894568959e-14,7.39577198551863e-12,6.43539968028883e-12,Adamts5/Hspg2/Eln/Bmp1/Col12a1/Col15a1/Col18a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Adam15/Fbn1/Fn1/Mmp14/Mmp2/Timp1,23
R-MMU-8948216,Collagen chain trimerization,14/219,41/8657,5.59599873310018e-13,3.78129628679483e-11,3.29027895434913e-11,Col12a1/Col14a1/Col15a1/Col18a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1,14
R-MMU-1566948,Elastic fibre formation,13/219,38/8657,3.7745455243264e-12,2.23170004125799e-10,1.94190434212056e-10,Efemp1/Eln/Fbln1/Fbln5/Mfap2/Mfap4/Mfap5/Tgfb3/Lox/Loxl1/Bmp4/Fbn1/Fn1,13
R-MMU-8957275,Post-translational protein phosphorylation,20/219,116/8657,8.00103909784746e-12,4.20499054809094e-10,3.6589547219396e-10,Apoe/Bmp4/C3/Cst3/Cyr61/Fbn1/Fn1/Gas6/Gpc3/Igfbp4/Igfbp7/Lamb1/Lamb2/Mfge8/Mxra8/Prss23/Sdc2/Sparcl1/Timp1/Trf,20
R-MMU-216083,Integrin cell surface interactions,16/219,76/8657,4.60266992333827e-11,2.177062873739e-09,1.89436204213186e-09,Hspg2/Lum/Col18a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Fbn1/Fn1/Jam2,16
R-MMU-1442490,Collagen degradation,15/219,68/8657,9.33592544636446e-11,4.01444794193672e-09,3.49315487993158e-09,Col12a1/Col15a1/Col18a1/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col8a1/Mmp14/Mmp2,15
R-MMU-3000171,Non-integrin membrane-ECM interactions,11/219,33/8657,2.50944008399865e-10,9.89137633109468e-09,8.60693923546906e-09,Hspg2/Col1a1/Col1a2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Ddr2/Fn1/Sdc2,11
R-MMU-2129379,Molecules associated with elastic fibres,11/219,34/8657,3.62790303480853e-10,1.31999856574187e-08,1.14859116324707e-08,Efemp1/Eln/Fbln1/Fbln5/Mfap2/Mfap4/Mfap5/Tgfb3/Bmp4/Fbn1/Fn1,11
R-MMU-2243919,Crosslinking of collagen fibrils,7/219,13/8657,9.09057986471482e-09,3.07131734000722e-07,2.67249377977706e-07,Bmp1/Col1a1/Col1a2/Col4a1/Col4a2/Lox/Loxl1,7
R-MMU-8874081,MET activates PTK2 signaling,9/219,30/8657,3.24672031007878e-08,1.02379913777818e-06,8.90854485081266e-07,Col1a1/Col1a2/Col3a1/Col5a1/Col5a2/Fn1/Lama4/Lamb1/Lamb2,9
