ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-1474244,Extracellular matrix organization,25/94,272/8657,5.31453161897902e-17,1.44555260036229e-14,1.23073363807935e-14,Adam15/Adamts2/Col12a1/Col8a1/Ddr2/Hspg2/Lama4/Pcolce2/Plod1/Tnc/Ctss/Col1a1/Col5a2/Tgfb3/Jam2/Jam3/Timp1/Ctsk/Efemp1/Lox/Loxl1/Mfap2/Col4a2/Col5a1/Col6a3,25
R-MMU-1474290,Collagen formation,12/94,74/8657,1.65343901194531e-11,2.24867705624562e-09,1.91450832962088e-09,Adamts2/Col12a1/Col8a1/Pcolce2/Plod1/Col1a1/Col5a2/Lox/Loxl1/Col4a2/Col5a1/Col6a3,12
R-MMU-2022090,Assembly of collagen fibrils and other multimeric structures,9/94,44/8657,7.37201414708359e-10,6.42825304163606e-08,5.47297085588209e-08,Col12a1/Col8a1/Col1a1/Col5a2/Lox/Loxl1/Col4a2/Col5a1/Col6a3,9
R-MMU-1650814,Collagen biosynthesis and modifying enzymes,10/94,62/8657,9.45331329652361e-10,6.42825304163606e-08,5.47297085588209e-08,Adamts2/Col12a1/Col8a1/Pcolce2/Plod1/Col1a1/Col5a2/Col4a2/Col5a1/Col6a3,10
R-MMU-216083,Integrin cell surface interactions,10/94,76/8657,7.41078348033452e-09,4.03146621330198e-07,3.43236287510231e-07,Col8a1/Hspg2/Tnc/Col1a1/Col5a2/Jam2/Jam3/Col4a2/Col5a1/Col6a3,10
R-MMU-1474228,Degradation of the extracellular matrix,12/94,129/8657,1.21247407310012e-08,5.49654913138719e-07,4.67972449266711e-07,Adam15/Col12a1/Col8a1/Hspg2/Ctss/Col1a1/Col5a2/Timp1/Ctsk/Col4a2/Col5a1/Col6a3,12
R-MMU-8948216,Collagen chain trimerization,7/94,41/8657,2.36284591294865e-07,9.18134411888618e-06,7.81693384734892e-06,Col12a1/Col8a1/Col1a1/Col5a2/Col4a2/Col5a1/Col6a3,7
R-MMU-1442490,Collagen degradation,8/94,68/8657,6.195070115385e-07,2.1063238392309e-05,1.79330977024303e-05,Col12a1/Col8a1/Col1a1/Col5a2/Ctsk/Col4a2/Col5a1/Col6a3,8
R-MMU-3000171,Non-integrin membrane-ECM interactions,6/94,33/8657,1.2201635532901e-06,3.68760540549897e-05,3.13960212542482e-05,Ddr2/Hspg2/Col1a1/Col5a2/Col4a2/Col5a1,6
R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),10/94,142/8657,2.86742945345063e-06,7.79940811338571e-05,6.64036294483304e-05,C4b/Cyr61/Igfbp2/Mxra8/Trf/Tnc/Fstl3/Igf1/Timp1/Gpc3,10
R-MMU-2243919,Crosslinking of collagen fibrils,4/94,13/8657,8.64871754104767e-06,0.000213859197378633,0.000182078264022056,Col1a1/Lox/Loxl1/Col4a2,4
R-MMU-114608,Platelet degranulation ,9/94,132/8657,1.20647935862708e-05,0.000273468654622138,0.000232829349910489,Trf/Clu/Igf1/Tgfb3/Actn1/Islr/Srgn/Timp1/Timp3,9
R-MMU-76005,Response to elevated platelet cytosolic Ca2+,9/94,137/8657,1.62947593005886e-05,0.000340936502289239,0.000290271015880931,Trf/Clu/Igf1/Tgfb3/Actn1/Islr/Srgn/Timp1/Timp3,9
R-MMU-186797,Signaling by PDGF,6/94,56/8657,2.92639956960582e-05,0.000568557630666273,0.000484066094220512,Col5a2/Pdgfd/Col4a2/Col5a1/Col6a3/Pdgfrb,6
R-MMU-8957275,Post-translational protein phosphorylation,8/94,116/8657,3.47897254817999e-05,0.000630853688736638,0.000537104533754103,C4b/Cyr61/Mxra8/Trf/Tnc/Fstl3/Timp1/Gpc3,8
R-MMU-419037,NCAM1 interactions,4/94,19/8657,4.45986208703022e-05,0.000758176554795137,0.000645506354701742,Col5a2/Col4a2/Col5a1/Col6a3,4
R-MMU-1566948,Elastic fibre formation,5/94,38/8657,5.12768832226732e-05,0.000820430131562771,0.000698508625943536,Tgfb3/Efemp1/Lox/Loxl1/Mfap2,5
R-MMU-3000178,ECM proteoglycans,5/94,40/8657,6.60786168717706e-05,0.000998521321617866,0.000850134252151434,Tnc/Col1a1/Col5a2/Col5a1/Col6a3,5
R-MMU-977606,Regulation of Complement cascade,5/94,42/8657,8.39757828149786e-05,0.00120217962766706,0.00102352754677536,C4b/Cfp/Clu/C1qb/Cfh,5
R-MMU-76002,Platelet activation, signaling and aggregation,11/94,260/8657,0.000110217446237718,0.00149895726883296,0.00127620200906831,Trf/Fcer1g/Col1a1/Clu/Igf1/Tgfb3/Actn1/Islr/Srgn/Timp1/Timp3,11
R-MMU-6809371,Formation of the cornified envelope,7/94,107/8657,0.000153211366581771,0.00198445198620198,0.00168954890466113,Sprr1a/Krt15/Krt18/Krt19/Krt4/Krt5/Krt8,7
