ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-1474244,Extracellular matrix organization,46/210,272/8657,1.16986592497123e-26,5.42817789186649e-24,4.88880812856397e-24,Ddr2/Col8a1/Lama4/Col15a1/Sparc/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Bmp4/Lamb1/Lamb2/Mmp2/Nid1/Plod1/Vcan/Adamts2/Adamts5/Bgn/Adam15/Efemp1/Eln/Fbln1/Fbln2/Fbln5/Fbn1/Fn1/Lox/Loxl1/Mfap2/Mfap4/Mfap5/Col1a1/Col14a1/Hspg2/Sdc2/Col1a2/Jam2/Jam3/Col18a1/Ctsk/Mmp14/Timp1,46
R-MMU-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),26/210,142/8657,3.67996933545975e-16,8.53752885826663e-14,7.68919908514485e-14,Apoe/Bmp4/C3/C4b/Cst3/Cyr61/Igfbp2/Igfbp4/Igfbp6/Igfbp7/Lamb1/Lamb2/Mfge8/Mmp2/Mxra8/Prss23/Sparcl1/Vcan/Igf1/Fbn1/Fn1/Sdc2/Gas6/Fstl3/Timp1/Trf,26
R-MMU-8957275,Post-translational protein phosphorylation,22/210,116/8657,3.67262521388217e-14,4.38006308219032e-12,3.94483902819772e-12,Apoe/Bmp4/C3/C4b/Cst3/Cyr61/Igfbp4/Igfbp7/Lamb1/Lamb2/Mfge8/Mxra8/Prss23/Sparcl1/Vcan/Fbn1/Fn1/Sdc2/Gas6/Fstl3/Timp1/Trf,22
R-MMU-1474228,Degradation of the extracellular matrix,23/210,129/8657,3.77591645016407e-14,4.38006308219032e-12,3.94483902819772e-12,Col8a1/Col15a1/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Mmp2/Nid1/Adamts5/Adam15/Eln/Fbn1/Fn1/Col1a1/Hspg2/Col1a2/Col18a1/Ctsk/Mmp14/Timp1,23
R-MMU-1474290,Collagen formation,17/210,74/8657,1.2379023518059e-12,1.14877338247587e-10,1.0346257550883e-10,Col8a1/Col15a1/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Plod1/Adamts2/Lox/Loxl1/Col1a1/Col14a1/Col1a2/Col18a1,17
R-MMU-1566948,Elastic fibre formation,13/210,38/8657,2.20676443193319e-12,1.70656449402833e-10,1.53699206925873e-10,Bmp4/Efemp1/Eln/Fbln1/Fbln2/Fbln5/Fbn1/Fn1/Lox/Loxl1/Mfap2/Mfap4/Mfap5,13
R-MMU-8948216,Collagen chain trimerization,13/210,41/8657,6.73451578050654e-12,4.46402188879291e-10,4.02045528550541e-10,Col8a1/Col15a1/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Col1a1/Col14a1/Col1a2/Col18a1,13
R-MMU-1650814,Collagen biosynthesis and modifying enzymes,15/210,62/8657,1.22410964120532e-11,7.09983591899086e-10,6.39436220471727e-10,Col8a1/Col15a1/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Plod1/Adamts2/Col1a1/Col14a1/Col1a2/Col18a1,15
R-MMU-2022090,Assembly of collagen fibrils and other multimeric structures,13/210,44/8657,1.86094684257298e-11,9.59421483282067e-10,8.64088767837978e-10,Col8a1/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Lox/Loxl1/Col1a1/Col14a1/Col1a2,13
R-MMU-216083,Integrin cell surface interactions,16/210,76/8657,2.43645361270517e-11,1.1305144762952e-09,1.01818114130943e-09,Col8a1/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Fbn1/Fn1/Col1a1/Hspg2/Col1a2/Jam2/Jam3/Col18a1,16
R-MMU-1442490,Collagen degradation,15/210,68/8657,5.13286989408491e-11,2.16513784623218e-09,1.94999937603034e-09,Col8a1/Col15a1/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Mmp2/Col1a1/Col1a2/Col18a1/Ctsk/Mmp14,15
R-MMU-3000171,Non-integrin membrane-ECM interactions,11/210,33/8657,1.59796646749661e-10,6.17880367432023e-09,5.56484813680838e-09,Ddr2/Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Fn1/Col1a1/Hspg2/Sdc2/Col1a2,11
R-MMU-2129379,Molecules associated with elastic fibres,11/210,34/8657,2.31242664463949e-10,8.25358433163632e-09,7.4334686471407e-09,Bmp4/Efemp1/Eln/Fbln1/Fbln2/Fbln5/Fbn1/Fn1/Mfap2/Mfap4/Mfap5,11
R-MMU-3000178,ECM proteoglycans,11/210,40/8657,1.64441121948697e-09,5.45004861315683e-08,4.90850567019796e-08,Sparc/Col3a1/Col5a1/Col5a2/Col6a1/Col6a3/Vcan/Bgn/Fn1/Col1a1/Col1a2,11
R-MMU-8874081,MET activates PTK2 signaling,9/210,30/8657,2.25411501309804e-08,6.97272910718326e-07,6.27988533473628e-07,Lama4/Col3a1/Col5a1/Col5a2/Lamb1/Lamb2/Fn1/Col1a1/Col1a2,9
R-MMU-977606,Regulation of Complement cascade,10/210,42/8657,4.25653415920324e-08,1.23439490616894e-06,1.11173951394979e-06,Clu/C3/C4b/Cfp/Cfh/C1qa/C1qb/C1qc/C1ra/Cd55,10
R-MMU-114608,Platelet degranulation ,16/210,132/8657,1.06877736861255e-07,2.91713352374248e-06,2.62727315999493e-06,Clec3b/Clu/Lgals3bp/Pf4/Selenop/Serpina3n/Sparc/Srgn/Timp3/Igf1/Actn1/Flna/Fn1/Gas6/Timp1/Trf,16
R-MMU-166663,Initial triggering of complement,7/210,19/8657,1.75982455626182e-07,4.18645753091651e-06,3.77047105211855e-06,C3/C4b/Cfp/C1qa/C1qb/C1qc/C1ra,7
R-MMU-419037,NCAM1 interactions,7/210,19/8657,1.75982455626182e-07,4.18645753091651e-06,3.77047105211855e-06,Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3,7
R-MMU-76005,Response to elevated platelet cytosolic Ca2+,16/210,137/8657,1.80450755642953e-07,4.18645753091651e-06,3.77047105211855e-06,Clec3b/Clu/Lgals3bp/Pf4/Selenop/Serpina3n/Sparc/Srgn/Timp3/Igf1/Actn1/Flna/Fn1/Gas6/Timp1/Trf,16
R-MMU-3000157,Laminin interactions,8/210,28/8657,2.14872791509245e-07,4.74766548858523e-06,4.27591469820403e-06,Lama4/Col4a1/Col4a2/Lamb1/Lamb2/Nid1/Hspg2/Col18a1,8
R-MMU-166658,Complement cascade,10/210,50/8657,2.50824278386619e-07,5.29011205324506e-06,4.76446117318123e-06,Clu/C3/C4b/Cfp/Cfh/C1qa/C1qb/C1qc/C1ra/Cd55,10
R-MMU-2243919,Crosslinking of collagen fibrils,6/210,13/8657,2.82534799930241e-07,5.69983248554921e-06,5.13346982024282e-06,Col4a1/Col4a2/Lox/Loxl1/Col1a1/Col1a2,6
R-MMU-8875878,MET promotes cell motility,9/210,41/8657,4.37771937209883e-07,8.46359078605774e-06,7.62260785404929e-06,Lama4/Col3a1/Col5a1/Col5a2/Lamb1/Lamb2/Fn1/Col1a1/Col1a2,9
R-MMU-186797,Signaling by PDGF,10/210,56/8657,7.65720108291364e-07,1.42117652098877e-05,1.27996161259651e-05,Col3a1/Col4a1/Col4a2/Col5a1/Col5a2/Col6a1/Col6a3/Pdgfd/Pdgfra/Pdgfrb,10
