ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
R-MMU-6803157,Antimicrobial peptides,10/132,53/8657,5.38952841256323e-09,2.0965265524871e-06,1.84945922367959e-06,Ctsg/Elane/Lcn2/Prtn3/Ear2/Ccr2/Rnase6/Ltf/S100a8/S100a9,10
R-MMU-1247673,Erythrocytes take up oxygen and release carbon dioxide,5/132,11/8657,3.2797796664187e-07,6.37917145118436e-05,5.62741142764471e-05,Aqp1/Hba-a1/Hba-a2/Hbb-bs/Hbb-bt,5
R-MMU-1237044,Erythrocytes take up carbon dioxide and release oxygen,5/132,15/8657,2.0296404840002e-06,0.00019738253706902,0.000174121788890544,Aqp1/Hba-a1/Hba-a2/Hbb-bs/Hbb-bt,5
R-MMU-1480926,O2/CO2 exchange in erythrocytes,5/132,15/8657,2.0296404840002e-06,0.00019738253706902,0.000174121788890544,Aqp1/Hba-a1/Hba-a2/Hbb-bs/Hbb-bt,5
R-MMU-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,10/132,101/8657,2.85897878654955e-06,0.000222428549593555,0.000196216228297927,Cd19/Cd247/Cd300c2/Cd3d/Cd3g/Cd8a/Cd8b1/Ifitm1/Ifitm3/Itga4,10
R-MMU-2168880,Scavenging of heme from plasma,5/132,19/8657,7.48260212813297e-06,0.000485122037973954,0.000427952332240588,Jchain/Hba-a1/Hba-a2/Hbb-bs/Hbb-bt,5
R-MMU-76002,Platelet activation, signaling and aggregation,15/132,260/8657,9.04039611219815e-06,0.00050238772680644,0.000443183328207007,Il2rb/Lck/Fcer1g/Cd63/Ctsw/F13a1/Fn1/Pf4/Plek/Srgn/Trf/Lat/Syk/Dgka/Psap,15
R-MMU-2173782,Binding and Uptake of Ligands by Scavenger Receptors,6/132,34/8657,1.06222532392856e-05,0.000516507063760264,0.000455638757369358,Jchain/Hba-a1/Hba-a2/Hbb-bs/Hbb-bt/Apoe,6
R-MMU-202433,Generation of second messenger molecules,5/132,23/8657,2.06170611273237e-05,0.000891115197614324,0.000786100810234798,Lck/Cd247/Cd3d/Cd3g/Lat,5
R-MMU-202430,Translocation of ZAP-70 to Immunological synapse,4/132,12/8657,2.32548249796736e-05,0.000904612691709302,0.000798007678249851,Lck/Cd247/Cd3d/Cd3g,4
R-MMU-202427,Phosphorylation of CD3 and TCR zeta chains,4/132,14/8657,4.59238043841078e-05,0.00152682183557445,0.00134689194533154,Lck/Cd247/Cd3d/Cd3g,4
R-MMU-983695,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,5/132,27/8657,4.70999023827593e-05,0.00152682183557445,0.00134689194533154,Cd19/Cd79a/Cd79b/Blnk/Syk,5
R-MMU-2424491,DAP12 signaling,5/132,30/8657,8.01459700363303e-05,0.00226569426805305,0.00199869119573886,Lck/Klrd1/Lat/Syk/Tyrobp,5
R-MMU-389948,PD-1 signaling,4/132,16/8657,8.15416960224748e-05,0.00226569426805305,0.00199869119573886,Lck/Cd247/Cd3d/Cd3g,4
R-MMU-114608,Platelet degranulation ,9/132,132/8657,0.000176762024336767,0.00458402849780017,0.00404381894272183,Cd63/Ctsw/F13a1/Fn1/Pf4/Plek/Srgn/Trf/Psap,9
